usuario,item,rating
3222,160207016,44
281,100201024,20
3737,100102010,20
322,150100117,64
1395,100201007,330
442,100102010,68
2084,100101008,85
2068,110200102,8
2874,100201066,100
2350,100201007,5
2419,110200102,20
342,100610024,16
3799,180285033,3
3134,100102010,340
387,160205015,1
321,100201007,40
3843,100101060,5
520,100610024,5
2387,160214015,1
1398,160216016,6
1207,110200102,22
491,200197038,1
2363,100102010,70
3215,100201024,100
3631,100201024,24
2215,190350025,5
386,100101008,30
642,100201007,2256
422,100102010,10
311,110200102,8
1533,100411042,3
2428,100102010,100
248,110200102,24
492,230100101,1
330,100221024,2
245,110200102,28
617,100750011,15
400,100610024,3
171,100201024,50
386,100201007,170
381,160207015,2
928,150300111,2
264,100201007,30
757,100201007,130
2724,100102010,300
646,110200102,2
1544,160500116,5
1001,160204016,1
536,110200102,140
1223,150100117,8
980,100102010,27
2726,100201007,470
178,100201024,15
1405,160207016,7
998,150100117,2
158,100610024,5
3393,100101050,40
759,100201024,2
2705,100101009,15
3261,100101009,30
646,100102010,128
1285,100221024,3
3220,100221024,1
1184,250202033,1
1388,150100117,34
316,100101008,7
2887,160208038,10
336,100610024,20
3252,100102010,70
536,150200113,88
752,250260038,2
1901,100201024,170
3266,100221041,2
330,100101009,4
2355,100101059,10
399,160100116,15
2382,200145038,6
1617,150100117,3
759,100101009,19
3657,150300163,15
260,100221024,11
2894,100101050,92
270,100201024,20
518,160501016,84
1483,100102010,270
2199,100221024,2
165,140121065,1
1466,170217016,100
3137,100101008,15
304,110200102,2
159,100750011,4
752,100201024,51
165,140230030,2
3135,100102010,32
2351,100522011,8
1223,200142037,3
3567,100101009,20
1393,100610024,15
312,110200102,4
3551,100201024,20
401,150100117,116
1285,100610026,2
72,110200102,1
761,100201024,36
642,230100101,1
2822,100101043,300
1001,100102010,7
3870,100160011,2
166,100201007,220
928,150300112,4
2334,100102010,60
293,100201024,80
1461,100101009,30
288,160201016,1
1944,110200102,3
157,100102010,2
3259,100101008,50
1666,190350025,50
364,100225004,3
633,100101009,6
520,100601065,3
415,230100101,1
454,100102010,550
2393,160120016,6
984,161000123,25
3897,260152034,1
778,100201024,30
688,100201007,680
989,110200102,26
1192,100201007,300
966,110200102,34
1270,100600126,2
2617,100102010,65
4225,100101060,226
399,100201007,463
2708,100101009,20
1916,100122011,12
3219,100101008,15
413,150100117,4
352,160201016,1
2610,100201007,80
703,110200102,10
1001,160205016,1
703,150100117,70
165,140210030,1
250,110200102,2
559,230100101,1
387,160203016,1
1192,100122011,10
3325,100201007,30
1945,100101008,30
646,100750011,18
254,100600126,97
321,100102010,2
2491,100201007,200
1666,190340011,2
1170,100201024,160
2617,100221024,1
668,100102010,25
944,150260013,1
1088,100201024,140
165,160213016,555
342,100201007,80
787,100102010,229
761,100102010,44
980,110200102,35
1091,110200102,353
400,100102010,137
125,150100117,14
3126,110200163,6
3627,110200102,33
426,100101064,2000
354,100102010,114
713,100201024,10
2380,100101008,22
320,100101009,6
1919,100221024,20
541,110200102,1
293,100201007,80
1224,110200102,20
165,150100117,29
2887,160208016,12
254,160201016,20
325,160201016,4
573,100201007,280
2441,110200102,45
3393,100750011,12
325,160500123,24
2125,100101008,50
272,100600126,13
1473,100102010,398
1327,100101059,10
3211,100102010,50
469,110200102,33
2171,100102010,30
2886,100101043,30
1949,200122037,3
1949,200124037,3
354,100221024,1
2170,100102010,51
4087,100231066,500
382,150200113,63
623,100750011,6
267,100102010,85
171,100101008,10
1919,260200134,10
288,110200102,12
993,100201024,20
330,150100117,125
491,160203016,10
1911,100522011,12
3190,100201024,100
1207,100522011,2
590,100201024,40
429,110200102,12
2887,100101008,30
2387,140160016,3
757,100600126,5
1742,100102010,70
754,100103048,50
2393,160207016,22
2505,100610024,5
364,100221024,26
646,100201007,48
3774,100201007,30
3306,100201024,100
1970,200300137,1
260,110200102,25
173,110200102,60
3338,100221024,1
165,100201024,43
2707,100101050,91
383,100102010,142
166,100600126,10
352,160203016,1
3666,100102010,100
1984,100522011,2
688,200110033,5
271,100221024,2
72,100201024,1
1398,160501016,8
328,110200102,4
3222,160203016,112
292,100201024,134
336,110200102,18
2647,100101050,50
2841,100102010,50
3762,100201024,300
300,250231033,4
874,160110016,3
451,150100117,5
2386,150100117,5
4173,100101043,110
1207,230100101,1
2171,100221024,5
2620,100102010,15
3834,100101008,2
2387,100101009,24
2382,200142037,4
1565,110200102,2
3834,100101009,2
1544,190340011,4
1544,150100117,8
260,100600126,52
2250,100201024,6
617,161023023,10
467,100750011,35
364,140160030,30
1053,150300112,3
2625,100102010,10
2765,120132042,1
648,100102010,183
321,100201024,40
2071,160201016,16
741,100101008,36
901,150100117,10
2200,100201007,20
1395,100201024,380
356,100160011,3
2268,150100117,10
1398,160208016,12
79,100600126,16
385,110200102,32
3799,200122037,2
407,150100117,56
1004,110200102,41
717,100102010,774
1899,100201024,30
778,150100117,17
3487,100105053,300
1053,100102010,20
407,190340011,36
130,100201007,192
1455,150100117,2
777,100122011,1
721,110200102,13
399,100750011,3
352,200131037,3
411,100102010,200
246,150100117,6
1223,100101008,25
782,100102010,172
3131,110200102,1
429,160520016,15
3125,100102010,71
3496,100201024,10
386,100201024,244
2200,110200102,2
946,150100117,4
3252,100201024,690
401,110200102,70
1897,161000123,10
522,100201007,150
125,100610026,2
1450,100102010,250
2693,100101008,6
442,100750011,10
2222,100102010,100
125,100201024,64
668,100101009,5
2335,100102010,130
3114,100201007,800
1533,100102010,5
158,100160011,6
2382,250122038,2
2887,120102038,151
1405,100101009,5
3278,100101009,30
1352,100201024,28
125,110200102,20
1390,150100117,22
2203,100201007,150
399,100122011,1
269,160203015,1
3136,100231066,50
1065,100600126,69
1533,110200102,6
2702,100101050,20
1405,100620029,140
1094,100201007,111
3261,100201066,50
1270,200117038,1
244,100201007,400
1717,100102010,6
1524,120303038,2
3148,100102010,70
2130,100102010,2
381,160204015,1
1538,100221024,4
1262,100102010,36
322,100610024,100
901,110200102,10
3109,100102010,30
294,100201024,23
1205,100201007,145
3190,170200116,83
2351,160100116,40
888,100201007,85
3259,110200102,7
322,100600126,3
1244,190350025,50
2119,100201024,260
442,100101009,3
400,150100117,6
3259,100225004,4
347,100221024,1
2364,100201024,24
245,100102010,92
4082,100101009,50
3206,100201007,24
4053,110200102,7
1617,260122034,2
3635,100102010,10
2434,180221038,12
354,100102009,1
1256,100201024,60
381,200232039,10
1483,100101009,56
3640,100201024,10
1617,100201024,54
2724,160500116,6
2323,100221024,2
400,140160016,2
157,110200102,8
1904,100101059,150
1533,100402042,3
388,100102010,12
2437,100102010,180
1533,100403042,10
501,100102010,630
629,100102010,45
2760,160100116,25
4037,100101060,95
345,100102010,389
1642,200170033,2
724,100201024,30
264,100600126,2
347,110200102,17
